feature,count,missing,missing_pct,mean,std,min,25%,50%,75%,max,skewness,kurtosis
mfcc_std_3,2252,0,0.00%,24.209394,8.563931,7.82344,17.60838031768799,23.141040802001953,29.649901866912842,60.86924,0.6033168483331756,0.18954573158453059
mfcc_std_4,2252,0,0.00%,16.397654,5.3907294,4.8072853,12.335570335388184,15.577891826629639,19.52374505996704,42.64979,0.780395739999902,0.6708593435384906
mfcc_std_5,2252,0,0.00%,15.147504,5.344595,4.854141,11.219834804534912,14.515034198760986,18.08767080307007,39.292934,0.7416929319237887,0.5205144722265711
mfcc_std_6,2252,0,0.00%,11.947535,3.8749175,4.4146967,9.227165937423706,11.392019748687744,13.908757209777832,30.59372,0.9825417667644805,1.4075816011692464
mfcc_std_7,2252,0,0.00%,12.105225,3.9645722,4.030432,9.29620623588562,11.480990409851074,14.550106525421143,27.319504,0.7678068942923028,0.7793815129612289
mfcc_std_8,2252,0,0.00%,12.252777,3.8197525,4.5491877,9.388760566711426,11.850420951843262,14.61354374885559,28.465862,0.7613713805486227,0.7532516613562881
mfcc_std_9,2252,0,0.00%,12.875675,4.496131,4.693091,9.865400075912476,12.274624347686768,15.044620752334595,44.35262,1.599471272826928,5.588087247716713
mfcc_std_10,2252,0,0.00%,11.061477,3.5855985,3.8414836,8.449650049209595,10.404574871063232,13.136377334594727,27.367325,0.9246401690848667,1.122115192388085
mfcc_std_11,2252,0,0.00%,10.607502,3.6381648,3.653954,7.897863268852234,9.822102069854736,12.661749839782715,25.385326,0.9439219947208405,0.7716230068323426
mfcc_std_12,2252,0,0.00%,10.119867,3.2366483,3.9513671,7.759106636047363,9.466078758239746,12.150413036346436,24.483456,0.9196855095680317,1.054798794100524
mfcc_std_13,2252,0,0.00%,9.968939,3.1429672,3.8610814,7.690374732017517,9.388333797454834,11.645727634429932,23.173424,1.0616726782658332,1.490016077716347
mfcc_delta_mean_1,2252,0,0.00%,0.039490398,0.10827302,-0.3735136,-0.002062499464955181,0.015658576041460037,0.07936004549264908,0.61344993,0.953047382487398,4.151507343109235
mfcc_delta_mean_2,2252,0,0.00%,0.018482933,0.057755504,-0.25095198,-0.005935766035690904,0.007519375998526812,0.046998463571071625,0.2634654,0.25077687413247945,2.3555349726506343
mfcc_delta_mean_3,2252,0,0.00%,0.005339875,0.029698526,-0.15768294,-0.0059524866519495845,0.003383084898814559,0.019742010161280632,0.1440782,-0.5101270791132555,3.8452856345923285
mfcc_delta_mean_4,2252,0,0.00%,0.0013604701,0.020661019,-0.123389445,-0.006909793009981513,0.001285304082557559,0.012552984058856964,0.08132403,-0.573409408533503,2.684071590464007
mfcc_delta_mean_5,2252,0,0.00%,0.00066322484,0.018361773,-0.11576306,-0.005659212009049952,0.00038248809869401157,0.009174542035907507,0.06900916,-1.1220001177824592,5.63299722955492
mfcc_delta_mean_6,2252,0,0.00%,0.00313144,0.014857206,-0.07027154,-0.004187756916508079,0.0016335015534423292,0.010126622393727303,0.08220871,0.4760457789649892,2.4255149377047376
mfcc_delta_mean_7,2252,0,0.00%,0.0015124417,0.013175163,-0.07843696,-0.003678279637824744,0.000937908363994211,0.007782102678902447,0.07304518,-0.3736290462115063,3.945968586086974
mfcc_delta_mean_8,2252,0,0.00%,0.00040163187,0.013050652,-0.12357307,-0.0041881457436829805,0.0006729663582518697,0.006382850813679397,0.049048252,-1.4142115283399757,10.02336185985313
mfcc_delta_mean_9,2252,0,0.00%,-0.000383039,0.01278102,-0.07462115,-0.005337632377631962,1.2358630563369388e-08,0.0059256431413814425,0.05081752,-0.8170283893468142,4.238685019840464
mfcc_delta_mean_10,2252,0,0.00%,0.0009038387,0.010965295,-0.059746888,-0.004012636258266866,0.0002503576542949304,0.00589152448810637,0.054684274,0.07473264671427848,2.8181264056317303
mfcc_delta_mean_11,2252,0,0.00%,-0.00091648824,0.0103837745,-0.052975867,-0.005559104029089212,-1.5481725901267396e-09,0.004298173938877881,0.06071704,-0.2957920269575098,3.653479259866339
mfcc_delta_mean_12,2252,0,0.00%,-4.9347855e-06,0.010398726,-0.04562023,-0.0047571659088134766,2.526042486294955e-09,0.0047112877946347,0.06542659,0.26685013969436067,3.7037128522242213
mfcc_delta_mean_13,2252,0,0.00%,-0.0016584949,0.010313416,-0.08708624,-0.005918257869780064,-0.00010370515155955218,0.00352168339304626,0.039815973,-0.7112348849527174,5.177112115949081
mfcc_delta_std_1,2252,0,0.00%,9.825478,4.42263,1.1393237,6.459735870361328,9.406375885009766,12.608991146087646,28.495392,0.6086768017084658,0.31925743148708996
mfcc_delta_std_2,2252,0,0.00%,4.463271,2.1047432,0.73420227,2.975211024284363,4.14361047744751,5.51144015789032,14.36022,1.1136699202312121,1.677716614855366
mfcc_delta_std_3,2252,0,0.00%,3.9042196,1.5321832,1.1006665,2.8155107498168945,3.675594687461853,4.747189879417419,11.890965,1.0859438358435938,1.8805986377660187
mfcc_delta_std_4,2252,0,0.00%,2.4073505,0.8421956,0.8008569,1.8217734396457672,2.2542526721954346,2.8418242931365967,7.8336782,1.4576503660922666,4.2611925996074795
mfcc_delta_std_5,2252,0,0.00%,2.1306639,0.7613339,0.8135192,1.5654531717300415,1.9994276762008667,2.5703442096710205,5.9499197,1.0596806106365508,1.6000494857357124
mfcc_delta_std_6,2252,0,0.00%,1.7587905,0.5659361,0.714872,1.3619782328605652,1.650400698184967,2.041107654571533,4.8334856,1.075561794796207,1.6425423877254834
mfcc_delta_std_7,2252,0,0.00%,1.7403247,0.5209771,0.6442936,1.362324744462967,1.6835742592811584,2.0602563619613647,4.4174747,0.6911710167520132,0.7259535340585792
mfcc_delta_std_8,2252,0,0.00%,1.7091649,0.49250513,0.72163725,1.3468133807182312,1.63201242685318,2.0078964829444885,3.952157,0.7974388361663564,0.7869283288785787
mfcc_delta_std_9,2252,0,0.00%,1.7686822,0.603243,0.7028272,1.3809110224246979,1.6784404516220093,2.038112699985504,7.584401,2.236926011662083,11.75037460198675
mfcc_delta_std_10,2252,0,0.00%,1.5877215,0.46589953,0.6537378,1.2612056732177734,1.5034788846969604,1.860564947128296,3.9408526,0.880355891319925,1.0848811386345707
mfcc_delta_std_11,2252,0,0.00%,1.4728605,0.42189243,0.6209886,1.1665617227554321,1.3782634139060974,1.7208020389080048,3.2054079,0.799074163214669,0.3087390379421393
mfcc_delta_std_12,2252,0,0.00%,1.414878,0.38594994,0.59228784,1.1349501609802246,1.3333789706230164,1.6461634039878845,3.0255184,0.9189914773650847,0.9087736563906428
mfcc_delta_std_13,2252,0,0.00%,1.3916376,0.39428347,0.6295668,1.1064005196094513,1.323212206363678,1.598953753709793,3.260546,1.0269423958946273,1.4363598416464836
