feature,variance,between_class_var,within_class_var,fisher_ratio,anova_F,anova_p,significant
mfcc_std_8,14.590508,68.37084064963139,14.42274445475954,4.7404875586677155,4.740490422938449,2.6737609387693117e-05,***
mfcc_std_11,13.236243,59.141984382371966,13.093043343906096,4.517054043810101,4.517051088810043,5.170700851441698e-05,***
mfcc_std_5,28.564695,126.61624570816223,28.258830645930107,4.48059041418254,4.480594308369354,5.7556087065277936e-05,***
mfcc_delta_mean_6,0.00022073656,0.0009741349748931151,0.00021838638495344466,4.460603050418093,4.460602954130845,6.10364102239072e-05,***
mfcc_delta_mean_3,0.0008820025,0.003679605957348828,0.0008732756115135084,4.213567754367442,4.21356787896986,0.00012566231713019148,***
mfcc_delta_mean_10,0.000120237695,0.0004798341240055761,0.00011911595861817404,4.028294189728879,4.02829386276313,0.0002150343488293996,***
mfcc_mean_3,462.08917,1801.05102782924,457.91238891547164,3.933178204885182,3.933178118694595,0.0002828719740863016,***
mfcc_delta_std_6,0.32028368,1.241366797747844,0.3174104409395267,3.91091986159444,3.910916135425902,0.00030157140625489267,***
mfcc_std_13,9.878243,38.17361492334645,9.789978179914641,3.8992543417169583,3.8992536546295553,0.0003118480213983611,***
mfcc_delta_mean_8,0.00017031953,0.0006578506725830331,0.00016879872079784468,3.8972491584867086,3.897249968124633,0.00031364797917720174,***
mfcc_delta_mean_2,0.003335698,0.012498209508053049,0.0033071162843157052,3.7791865884265774,3.779187234272527,0.0004398600393579385,***
mfcc_std_6,15.014986,54.7175265083341,14.891136806916425,3.6745029756841454,3.674506164003176,0.0005927154493534518,***
mfcc_delta_mean_7,0.00017358494,0.0006241251591168671,0.00017217951256671523,3.6248514693351472,3.6248516356858564,0.0006824166393042146,***
mfcc_std_10,12.856516,46.161308732149855,12.752623878060815,3.6197498784202535,3.6197483381594364,0.0006923582823209383,***
mfcc_std_12,10.475893,35.420515900054205,10.398079551689978,3.406447866067478,3.4064513834366537,0.001262686394989098,**
mfcc_mean_13,60.947945,204.1325664710591,60.50128952067166,3.374020092601704,3.3740200408923333,0.001382591539371959,**
mfcc_std_9,20.215193,60.78509676449591,20.088637802052624,3.0258446273686608,3.0258411299425667,0.0036177986706161912,**
mfcc_mean_10,97.40135,269.9292869806737,96.86316448694457,2.7867072938449717,2.7867072216914828,0.006903831867647656,**
ioi_min,0.0039738044,0.010179236251227543,0.003954447039013725,2.574123803101011,2.57412327816151,0.012120337746953458,*
mfcc_mean_12,83.78872,207.79869613844517,83.40187750695648,2.4915349911770615,2.491534785718772,0.015032391656341744,*
mfcc_delta_mean_9,0.00016335449,0.00039931035663910935,0.0001626184479936392,2.4555046587010123,2.455505097788304,0.016502531739429803,*
mfcc_delta_mean_1,0.011723048,0.026991428657915706,0.01167541966170119,2.311816571909233,2.3118166362003927,0.023845076251903432,*
mfcc_delta_mean_12,0.00010813351,0.0002429840390024062,0.00010771284656445188,2.25585013071781,2.2558503969221837,0.02746966218112457,*
mfcc_std_4,29.059961,54.94026290363763,28.979230454048796,1.895849615149519,1.8958495272083309,0.06632343398297057,
mfcc_delta_mean_13,0.00010636654,0.00019926282233420812,0.00010607675750518455,1.8784776893700683,1.8784779432017809,0.0691075075346462,
mfcc_delta_mean_11,0.000107822765,0.00018885105703384347,0.00010757000309694475,1.755610779927618,1.7556105913510505,0.09204070908622755,
mfcc_mean_11,103.64369,181.28823335544544,103.40148552811294,1.753245927072842,1.7532452352688102,0.09254279731625817,
mfcc_mean_1,16275.296,26722.534490674734,16242.70651250557,1.6452020770122604,1.6452003781689166,0.11825740419801503,
mfcc_std_3,73.34093,117.16179816844358,73.2042325405726,1.6004784710161124,1.6004770702627225,0.13063005835504796,
mfcc_mean_2,1130.1722,1721.281789837771,1128.3283461844433,1.5255149759008182,1.5255145883798662,0.1539073482235508,
mfcc_mean_4,284.35977,416.6982970338509,283.9469478083592,1.4675216629378525,1.4675215841995854,0.17427916876671876,
mfcc_delta_mean_4,0.00042687773,0.0006252605783445624,0.00042625890152218443,1.4668563544637696,1.466856369662868,0.1745254920713355,
mfcc_std_2,249.45021,346.5607727885612,249.1472803547633,1.3909875809003007,1.3909829308291894,0.20460137349157473,
mfcc_mean_6,189.86429,189.035190918962,189.8668712677165,0.9956196658047742,0.9956203758782829,0.43239814464670523,
mfcc_mean_5,302.72675,165.25902695537067,303.1555653128394,0.5451294512269061,0.5451297519607445,0.8006075085047563,
